Node,Subnetwork_partition
LW_BW,plasma_anthro_0
LW,plasma_anthro_0
TLR2Agonist,plasma_anthro_2
PLChol,plasma_anthro_0
BW,plasma_anthro_0
LeanMass,plasma_anthro_1
FatMass,plasma_anthro_1
TLR4Agonist,plasma_anthro_2
lipid489,lipid_metab_0
lipid507,lipid_metab_1
lipid485,lipid_metab_1
lipid503,lipid_metab_0
lipid471,lipid_metab_2
lipid316,lipid_metab_0
lipid207,lipid_metab_2
lipid533,lipid_metab_2
lipid75,lipid_metab_3
lipid142,lipid_metab_3
lipid388,lipid_metab_2
lipid213,lipid_metab_2
lipid529,lipid_metab_2
lipid391,lipid_metab_2
lipid19,lipid_metab_4
lipid6,lipid_metab_4
lipid327,lipid_metab_0
lipid522,lipid_metab_0
lipid470,lipid_metab_1
lipid62,lipid_metab_0
lipid451,lipid_metab_0
lipid508,lipid_metab_0
lipid512,lipid_metab_0
lipid362,lipid_metab_2
lipid491,lipid_metab_0
lipid199,lipid_metab_2
lipid5,lipid_metab_4
lipid2,lipid_metab_4
lipid299,lipid_metab_0
lipid514,lipid_metab_0
lipid305,lipid_metab_0
lipid367,lipid_metab_2
lipid510,lipid_metab_2
lipid483,lipid_metab_1
lipid138,lipid_metab_2
lipid155,lipid_metab_3
lipid151,lipid_metab_3
lipid317,lipid_metab_0
lipid351,lipid_metab_0
lipid384,lipid_metab_2
lipid495,lipid_metab_2
lipid517,lipid_metab_1
lipid371,lipid_metab_1
lipid20,lipid_metab_4
lipid518,lipid_metab_0
lipid511,lipid_metab_1
lipid210,lipid_metab_2
lipid464,lipid_metab_0
lipid455,lipid_metab_0
lipid35,lipid_metab_1
lipid484,lipid_metab_1
lipid509,lipid_metab_0
lipid410,lipid_metab_5
lipid402,lipid_metab_5
lipid392,lipid_metab_1
lipid523,lipid_metab_1
lipid94,lipid_metab_0
lipid524,lipid_metab_0
lipid513,lipid_metab_0
lipid488,lipid_metab_0
lipid267,lipid_metab_1
lipid516,lipid_metab_1
lipid504,lipid_metab_1
lipid520,lipid_metab_0
lipid458,lipid_metab_0
lipid44,lipid_metab_0
lipid419,lipid_metab_1
lipid412,lipid_metab_5
lipid414,lipid_metab_5
lipid320,lipid_metab_0
lipid342,lipid_metab_5
lipid466,lipid_metab_2
lipid65,lipid_metab_2
lipid3,lipid_metab_4
lipid443,lipid_metab_1
lipid201,lipid_metab_2
lipid63,lipid_metab_2
lipid97,lipid_metab_3
lipid328,lipid_metab_5
lipid325,lipid_metab_5
lipid73,lipid_metab_5
lipid88,lipid_metab_5
lipid137,lipid_metab_3
lipid160,lipid_metab_3
lipid374,lipid_metab_2
